Taxonomy,A3,A5,A6,A9,A31,A51,A52,A53,A54,A59,A67,A68,A69,A71,A73,A76,A78,A87,A89,A93,A101,A109,A113,A114,A115,A142,A144,A149,A164,A165,B1,B2,B3,B5,B6,B7,B8,B13,B14,B28,B29,B36,B37,B94,B99,B103,B106,B111,B114,B115,B120,B127,B132,B141,B142,B143,B152,B156,B158,B164
g__Paenibacillus;s__Paenibacillus stellifer,1,1,1,1,1,0,3,2,0,1,0,0,0,3,0,2,0,3,1,1,1,0,1,5,1,4,6,1,0,1,1,2,1,3,0,0,1,1,0,0,1,0,1,1,0,1,2,0,2,2,2,2,1,2,1,1,0,1,1,1
g__Enterococcus;s__Enterococcus casseliflavus,2,0,0,5,0,0,1,0,0,0,0,0,1,1,0,1,4,1,0,2,0,1,0,3,0,0,0,3,6,3,0,4,0,3,0,0,1,0,0,0,0,0,0,1,2,0,2,1,5,0,2,1,1,0,0,0,1,0,0,1
g__Streptococcus;s__Streptococcus sp. HMSC065H07,2,0,0,0,0,1,3,6,1,0,0,0,2,4,1,2,0,0,0,3,0,0,1,2,0,0,0,0,1,1,3,1,2,0,0,1,0,0,0,0,0,0,1,0,0,4,1,0,1,0,1,1,0,0,0,0,2,1,2,0
g__Alkaliphilus;s__Alkaliphilus peptidifermentans,1,1,1,5,0,1,3,2,2,5,1,0,0,2,2,4,2,2,1,5,0,0,2,4,1,3,1,1,0,3,2,2,1,6,0,1,3,2,1,0,0,0,1,1,2,1,1,2,4,4,2,2,5,2,0,1,0,0,0,0
g__Caldisalinibacter;s__Caldisalinibacter kiritimatiensis,1,1,1,6,2,1,2,2,5,1,1,1,4,1,0,1,1,2,3,4,4,2,4,4,1,5,3,3,1,4,2,2,4,5,1,1,2,6,0,1,1,1,3,5,1,4,1,2,4,4,3,5,4,4,3,1,0,4,2,1
g__Caloramator;s__Caloramator australicus,0,0,1,2,0,0,0,0,2,1,0,0,3,2,0,0,2,5,0,0,2,0,0,1,1,4,1,1,1,1,0,0,2,2,0,2,2,4,1,0,1,0,1,5,0,5,0,2,4,2,5,6,1,3,0,0,0,6,1,1
g__Clostridium;s__Clostridium akagii,1,1,1,2,3,1,1,1,0,2,0,0,2,4,2,1,3,3,1,2,2,0,3,6,2,4,0,2,1,2,1,1,1,4,1,1,0,0,1,1,0,0,0,2,1,2,2,6,4,1,1,3,3,0,0,0,0,3,0,0
g__Clostridium;s__Clostridium argentinense,0,1,1,1,2,0,1,4,2,0,0,0,3,1,3,1,1,2,1,0,1,1,1,2,1,3,3,1,2,2,1,1,3,2,2,0,0,3,0,1,1,0,0,2,0,6,0,1,3,1,2,3,3,2,2,0,1,2,4,1
g__Clostridium;s__Clostridium colicanis,2,1,3,6,0,2,2,4,2,0,0,2,1,1,1,1,2,3,3,1,1,0,3,0,1,3,5,2,1,1,1,2,1,2,1,1,3,3,0,1,1,2,2,5,1,1,2,3,3,5,1,2,2,3,1,0,0,4,2,0
g__Clostridium;s__Clostridium formicaceticum,1,3,1,6,2,2,0,3,6,2,0,3,3,1,1,0,4,0,1,4,3,2,0,4,2,5,3,0,3,2,3,1,1,3,2,1,1,4,0,0,1,0,2,0,2,2,2,5,4,3,3,6,5,0,1,0,1,0,1,3
g__Clostridium;s__Clostridium sp. BL8,0,3,4,0,1,2,1,0,4,1,2,1,5,3,1,2,0,3,2,2,0,1,1,1,1,6,0,1,0,1,0,2,3,2,0,1,2,1,2,0,1,1,1,3,2,0,1,0,3,1,3,0,1,2,4,0,1,0,1,1
g__Clostridium;s__Clostridium sp. C8,0,0,0,5,4,2,0,2,5,5,0,2,1,2,0,0,0,0,0,1,1,0,2,6,0,5,0,2,1,2,0,1,1,3,1,2,2,2,0,0,0,0,0,1,0,1,3,3,4,1,3,2,2,2,3,1,0,2,2,1
g__Clostridium;s__Clostridium sp. HMSC19A11,1,0,1,4,2,2,2,2,3,1,3,0,2,0,3,0,0,5,1,0,3,2,1,0,0,2,1,5,1,5,2,0,0,0,0,2,1,2,1,0,1,0,2,5,0,1,1,1,6,5,1,1,2,1,1,0,0,0,1,0
g__Unclassified;s__Clostridiaceae bacterium mt10,1,1,0,2,0,1,0,0,5,3,0,0,4,4,2,1,1,2,3,3,3,1,2,5,1,4,3,1,2,2,0,3,2,4,2,0,0,1,1,0,1,1,1,1,1,1,3,2,2,1,2,3,6,3,3,3,0,2,0,3
g__Unclassified;s__Clostridiaceae bacterium mt12,1,1,2,6,4,1,0,1,2,2,1,0,0,2,0,2,2,3,1,1,3,0,2,3,0,5,5,2,2,3,1,3,1,1,0,1,3,4,1,0,0,0,4,5,0,2,2,4,2,3,3,4,1,3,0,1,1,2,0,2
g__Fusibacter;s__Fusibacter sp. 3D3,1,3,2,4,2,1,3,1,2,3,1,1,1,4,0,3,3,1,0,1,0,0,4,6,2,5,3,2,5,4,5,0,2,5,0,0,3,3,0,1,1,0,0,0,1,6,0,3,3,1,4,2,2,5,3,0,1,4,1,2
g__Acetobacterium;s__Acetobacterium bakii,0,4,3,5,0,0,1,1,3,6,1,2,1,5,0,5,5,2,1,2,1,3,3,2,0,4,2,4,3,4,1,4,3,2,2,2,1,3,3,2,0,2,2,6,3,3,4,4,6,2,5,4,3,0,5,0,0,2,1,0
g__Acetobacterium;s__Acetobacterium dehalogenans,0,1,0,4,2,1,3,2,0,4,2,0,0,2,0,1,1,2,0,2,2,0,2,3,1,3,0,1,3,3,1,0,2,3,0,2,1,0,0,0,0,2,2,2,2,1,2,6,1,2,3,2,5,1,0,1,2,4,1,1
g__Acetobacterium;s__Acetobacterium woodii,3,2,0,1,3,0,3,2,2,1,1,1,0,4,0,0,0,1,1,2,3,1,0,3,0,5,4,2,1,1,1,1,1,6,3,0,0,2,0,0,0,1,0,1,0,0,3,5,5,0,3,2,3,2,2,0,1,1,1,3
g__Eubacterium;s__Eubacterium sp. CAG:603,1,2,0,1,3,0,3,6,3,3,0,2,1,2,2,3,1,2,2,1,1,2,5,3,2,5,2,2,4,3,5,0,2,3,1,1,3,4,2,0,0,2,5,2,2,3,5,5,5,3,3,6,3,4,3,1,3,1,1,1
g__Butyrivibrio;s__Butyrivibrio sp. LC3010,3,1,0,1,1,0,0,2,2,3,2,2,0,6,0,2,1,1,2,2,3,1,0,2,0,3,2,0,5,4,3,1,0,2,1,2,1,2,0,0,1,0,5,1,0,3,0,5,6,2,4,4,5,2,0,1,3,2,0,4
g__Butyrivibrio;s__Butyrivibrio sp. VCB2006,1,2,0,2,4,0,1,2,3,6,1,0,0,4,1,4,2,2,2,3,4,1,4,5,0,6,3,2,3,2,1,1,1,4,1,1,2,3,0,1,0,3,1,2,1,0,0,2,3,2,0,2,4,4,4,2,0,3,2,1
g__Butyrivibrio;s__Butyrivibrio sp. WCE2006,2,0,0,1,3,2,2,2,0,2,0,2,1,3,2,1,2,3,1,1,1,2,5,4,1,6,3,2,0,2,1,0,1,3,2,4,0,2,1,0,0,4,0,0,0,3,1,2,4,0,4,2,1,1,2,1,2,0,1,1
g__Unclassified;s__Lachnospiraceae bacterium AC2031,4,1,1,4,4,0,4,1,1,1,0,0,1,2,0,2,2,2,0,2,3,0,1,5,0,5,3,6,1,2,3,1,1,1,1,0,2,3,0,0,0,2,0,1,0,3,3,4,3,0,1,5,2,0,1,0,3,1,1,1
g__Unclassified;s__Lachnospiraceae bacterium CAG:25,4,4,6,1,2,4,5,3,3,2,1,6,2,3,3,1,1,0,4,2,3,5,2,0,3,0,4,2,5,0,6,4,3,1,5,5,0,3,2,2,5,5,5,5,5,0,4,4,2,2,2,5,3,0,4,0,3,0,5,4
g__Unclassified;s__Lachnospiraceae bacterium FD2005,0,0,0,0,3,1,3,3,0,2,0,0,2,2,0,3,2,0,2,1,6,1,2,3,0,4,0,0,0,1,1,0,1,1,1,2,4,0,0,0,0,0,0,0,0,2,2,2,1,0,0,4,1,5,0,1,0,4,0,0
g__Unclassified;s__Lachnospiraceae bacterium NC2008,0,1,1,1,2,0,0,2,5,2,2,1,0,1,0,1,0,1,1,0,4,0,0,2,1,3,3,1,3,2,1,2,1,0,3,0,0,6,2,0,1,2,1,1,0,4,0,3,2,1,0,3,3,1,1,0,0,3,0,1
g__Unclassified;s__Lachnospiraceae bacterium XPB1003,0,2,1,5,1,0,1,0,5,0,2,2,1,4,1,0,3,4,2,2,0,3,1,3,2,5,2,1,5,3,0,0,1,3,3,3,4,5,0,0,0,0,5,1,1,1,1,4,6,4,1,2,3,4,4,0,2,5,1,2
g__Desulfitibacter;s__Desulfitibacter alkalitolerans,0,1,0,2,1,2,0,0,1,4,0,0,0,2,0,2,0,1,0,0,1,1,1,6,0,6,3,1,1,3,1,0,1,6,1,0,2,3,0,0,0,1,1,1,0,4,2,1,2,1,6,3,2,2,3,0,1,2,0,1
g__Desulfitobacterium;s__Desulfitobacterium dehalogenans,1,2,2,1,1,1,1,2,1,3,1,1,1,0,1,1,1,1,0,1,2,1,1,2,2,5,2,1,2,2,2,1,1,2,2,1,1,1,1,1,0,2,2,1,0,1,1,0,2,1,6,2,2,3,1,1,1,1,1,1
g__Desulfosporosinus;s__Desulfosporosinus orientis,1,1,0,5,1,0,3,2,4,1,0,1,1,5,1,2,2,3,0,3,6,0,2,4,0,2,3,2,3,2,1,2,1,2,0,2,5,0,1,0,0,1,2,2,1,3,2,5,2,2,3,5,3,3,1,0,0,3,2,3
g__Unclassified;s__Peptococcaceae bacterium BRH_c8a,0,0,0,0,1,1,2,2,1,0,0,2,0,3,0,1,0,1,0,1,0,0,0,6,0,1,1,2,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0
g__Peptostreptococcus;s__Peptostreptococcus anaerobius,0,0,1,0,2,0,0,0,0,6,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,5,5,0,1,2,0,0,0,1,1,0,0,0,0,5,3,1,0,0,4,4,0,6,2,5,2,5,6,0,0,0,0,4,1,0
g__Ruminiclostridium;s__[Clostridium] straminisolvens,1,0,1,6,5,3,4,5,2,1,3,2,3,4,1,2,3,2,1,0,2,0,2,4,1,2,4,2,3,3,3,3,1,3,1,1,3,5,0,2,1,3,1,3,0,4,3,4,5,3,5,3,4,3,2,1,4,4,1,1
g__Unclassified;s__Ruminococcaceae bacterium AB4001,3,0,1,1,3,1,1,2,3,1,2,3,1,4,2,1,2,1,2,0,0,2,1,5,1,6,5,2,0,5,0,0,1,3,0,0,1,1,1,0,1,2,0,3,1,3,2,2,1,3,3,1,1,0,0,0,0,0,1,1
g__Epulopiscium;s__Epulopiscium sp. _N.t. morphotype B_,0,0,2,1,1,1,1,0,0,2,4,0,0,2,0,1,0,0,1,6,2,0,1,1,1,2,0,0,0,0,1,5,0,2,0,2,1,1,0,0,2,1,2,1,0,4,2,1,2,1,4,0,0,0,2,0,1,0,1,0
g__Unclassified;s__Clostridiales bacterium GWC2_40_7,0,1,3,3,1,1,0,2,4,3,2,0,1,4,1,2,0,4,3,5,2,1,0,4,1,3,3,1,4,1,0,3,3,3,0,2,6,2,0,1,1,1,3,3,1,2,4,2,6,3,3,4,4,2,2,1,3,2,1,1
g__Unclassified;s__Clostridiales bacterium GWD2_32_19,0,0,0,5,1,0,0,1,0,4,0,0,2,1,0,0,3,1,0,0,1,0,2,1,0,1,3,0,2,0,0,1,0,3,0,0,1,2,0,0,0,0,1,1,0,2,0,6,1,1,0,1,0,1,1,0,0,1,1,0
g__Unclassified;s__Clostridiales bacterium GWE2_32_10,0,0,0,1,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,2,1,6,0,0,1,1,0,2,1,4,1,1,0,2,0,1,1,0,0,0,0,0,0,1,3,0,1,0,1,0,0,1,0,2,0,0
g__Unclassified;s__Clostridiales bacterium VE202-08,1,2,0,4,5,5,5,5,2,3,1,1,1,6,1,1,2,1,0,3,4,2,5,2,4,4,2,4,5,3,1,0,2,3,2,2,6,2,1,0,1,1,1,1,2,4,3,4,2,4,4,4,2,0,1,3,1,1,1,3
g__Tepidanaerobacter;s__Tepidanaerobacter acetatoxydans,2,3,1,6,3,4,3,3,4,1,3,2,1,4,1,3,2,3,3,3,4,5,2,3,4,3,2,3,4,4,1,5,3,1,4,0,3,4,1,4,2,1,2,2,0,3,0,4,3,4,4,2,2,3,3,2,2,2,1,2
g__Unclassified;s__Erysipelotrichaceae bacterium I46,0,4,1,0,2,2,3,0,1,0,0,3,1,3,3,0,2,0,0,3,0,3,6,1,1,2,0,1,3,1,0,1,0,1,0,1,0,0,2,2,0,1,0,0,0,1,4,0,2,1,0,1,1,1,0,2,0,0,0,1
g__Selenomonas;s__Selenomonas noxia,0,3,2,2,1,3,2,2,2,1,0,0,0,2,1,5,2,1,0,0,0,3,0,1,1,3,3,3,3,2,1,0,2,0,0,1,0,1,2,0,3,1,0,5,1,1,1,6,1,1,2,1,1,1,0,0,0,0,0,0
g__Selenomonas;s__Selenomonas sp. AE3005,3,4,3,5,2,2,3,3,4,0,1,4,3,4,3,5,4,2,5,6,4,6,2,4,0,3,5,1,2,5,2,1,2,1,3,3,0,3,0,2,0,5,0,3,1,5,3,5,2,1,2,2,0,2,4,2,2,3,0,0
g__Selenomonas;s__Selenomonas sp. oral taxon 920,1,1,2,1,5,1,4,5,2,3,3,4,1,3,4,3,4,6,3,2,4,1,3,2,0,5,4,4,3,4,6,2,6,1,4,1,4,4,1,5,0,2,3,5,3,6,3,5,5,1,1,3,3,5,3,2,2,1,3,1
g__Anaeroarcus;s__Anaeroarcus burkinensis,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2,1,2,5,0,1,0,1,1,2,0,2,0,0,0,0,0,0,0,1,0,6,0,1,0,4,0,2,0,5,0,0,5,0,0,0,0,1,1,0,0,0
g__Pelosinus;s__Pelosinus sp. UFO1,4,0,1,3,1,0,1,3,0,3,0,0,0,2,0,3,0,0,3,4,3,1,3,1,4,2,2,1,1,4,2,0,3,3,0,0,0,3,0,0,0,0,0,2,0,1,0,4,1,1,6,1,3,0,3,0,0,1,0,1
g__Unclassified;s__Tissierellia bacterium S5-A11,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,2,6,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
g__Fusobacterium;s__Fusobacterium sp. CAG:439,1,0,1,6,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,6,1,2,0,0,0,0,2,0,0,0,1,0,1,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
g__Phycisphaera;s__Phycisphaera mikurensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
g__Unclassified;s__Phycisphaerae bacterium SM1_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
g__Gemmata;s__Gemmata sp. SH-PL17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
g__Pirellula;s__Pirellula sp. SH-Sr6A,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
g__Unclassified;s__Planctomycetes bacterium GWF2_50_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
g__Unclassified;s__Planctomycetes bacterium RBG_13_63_9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
g__Magnetococcus;s__Magnetococcus marinus,0,0,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Lawsonia;s__Lawsonia intracellularis,0,2,2,1,1,0,0,1,0,0,0,0,1,1,0,0,2,1,0,0,1,0,0,1,6,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
g__Geobacter;s__Geobacter sp. M18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,6,1,0,0,3,0,0,0,2,0,0,0,0,0,1,0,1,0,3,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0
g__Campylobacter;s__Campylobacter coli,1,1,2,2,3,3,1,2,2,2,2,3,2,6,1,2,3,2,2,2,2,4,3,2,3,5,1,2,5,1,1,2,2,2,1,3,1,3,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2
g__Thiohalocapsa;s__Thiohalocapsa sp. ML1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
g__Shigella;s__Shigella dysenteriae,6,6,5,5,5,2,5,5,0,3,0,4,5,5,3,4,1,6,0,5,1,3,6,5,5,3,6,1,5,0,5,5,5,6,6,6,5,6,4,5,6,3,5,5,5,5,6,5,6,6,3,5,6,1,4,4,5,1,1,3
g__Serratia;s__Serratia sp. HMSC15F11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Gilliamella;s__Gilliamella apicola,0,3,2,4,2,1,2,3,2,4,0,2,1,6,2,2,1,2,2,2,4,2,2,3,0,6,5,2,2,4,0,3,1,3,2,0,3,2,0,4,1,4,1,2,2,2,2,3,2,2,3,1,3,0,1,1,2,5,0,2
g__Brachyspira;s__Brachyspira alvinipulli,0,2,0,1,1,1,0,1,5,0,0,0,0,6,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,3,0,1,4,0,4,0,0,0,0,0,1,0,0,4,0,1,4,0,3,1,5,0,1,1,1,0,0,1
g__Sediminispirochaeta;s__Sediminispirochaeta smaragdinae,0,2,0,3,2,6,2,6,3,4,1,2,2,4,0,2,3,1,1,4,1,1,0,4,0,4,3,3,3,6,3,3,2,3,2,2,4,3,3,4,0,1,0,0,0,3,0,3,3,5,4,3,3,2,1,0,3,3,1,1
g__Treponema;s__Treponema brennaborense,1,0,0,1,1,0,0,0,0,2,0,1,0,5,0,3,0,0,0,0,3,1,1,1,0,6,1,0,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,4,0,5,1,0,5,2,0,0,0,0,0
g__Treponema;s__Treponema saccharophilum,1,1,2,3,3,1,3,1,0,2,0,0,1,1,0,2,4,1,2,1,3,1,4,3,0,3,3,3,6,3,4,1,2,3,3,1,1,2,0,3,0,3,1,0,1,4,0,3,4,3,3,6,4,2,1,0,0,3,2,0
g__Unclassified;s__Spirochaetes bacterium RIFOXYC1_FULL_54_7,0,0,0,2,0,1,0,0,3,3,0,0,0,6,0,0,0,0,0,0,3,0,0,4,0,4,3,0,0,2,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,2,4,0,0,1,0,0,0,3,0,0
g__Synergistes;s__Synergistes sp. 3_1_syn1,0,0,1,1,1,0,0,1,2,0,0,1,1,0,1,1,1,0,0,0,0,1,0,3,0,1,3,2,2,4,0,0,1,1,0,0,0,3,1,0,1,0,1,0,0,3,0,2,2,6,0,2,3,1,2,0,0,0,1,0
g__Acholeplasma;s__Acholeplasma granularum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,6,1,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,1
g__Unclassified;s__bacterium F083,2,4,3,2,5,5,4,3,4,4,2,3,5,6,2,3,4,2,2,2,1,2,3,6,1,6,3,5,5,2,1,2,3,2,3,1,1,1,2,2,1,1,1,4,2,2,2,3,1,2,3,2,2,3,2,1,2,2,2,2
g__Unclassified;s__bacterium P3,0,2,1,0,0,0,0,0,0,0,2,1,0,5,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,6,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
g__Unclassified;s__candidate division TM6 bacterium GW2011_GWF2_37_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Unclassified;s__uncultured bacterium IN-02,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,6,0,6,1,0,0,2,1,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,6,4,1,2,1,1,1,0,0,0,2,0,0
g__Unclassified;s__uncultured bacterium scaffold00056,3,2,0,4,1,0,3,0,3,2,2,0,0,3,0,2,3,1,2,2,3,0,3,6,1,4,3,2,3,3,1,1,2,3,1,1,3,2,2,1,2,0,2,1,0,3,3,5,4,1,5,4,3,2,5,1,1,0,0,1
g__Trichophyton;s__Trichophyton violaceum,0,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
g__Unclassified;s__Actinomyces virus Av1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0
g__Methanomassiliicoccus;s__Candidatus Methanomassiliicoccus intestinalis,0,0,1,3,0,0,2,0,2,1,0,1,1,3,1,3,0,1,0,2,3,1,1,2,0,2,0,1,1,4,0,3,0,5,2,0,2,2,0,1,0,0,2,2,1,2,0,1,3,0,5,3,2,2,1,1,1,3,0,2
g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum CAG:263,2,3,0,3,0,3,3,3,0,0,0,3,3,3,3,3,1,1,0,3,3,2,3,0,3,0,1,3,1,0,3,0,1,3,3,3,3,3,3,3,3,0,3,3,3,1,5,2,2,3,0,3,3,0,2,0,3,0,3,3
g__Bifidobacterium;s__Bifidobacterium pullorum,1,2,2,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,2,5,0,0,0,1,0,0,4,0,0,0,0,1,2,1,1,0,2,1,0,0,0,0,2,1,1,1,4,0,3,4,1,2,2,0,1,0,0,0,0,1
g__Bifidobacterium;s__Bifidobacterium subtile,0,1,0,1,2,0,1,2,1,1,0,2,2,2,1,2,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,5,1,1,5,1,0,2,1,0,0,1,1,2,5,0,5,2,0,0,1,1,5,0,0,0,0,1
g__Olsenella;s__Olsenella sp. KH3B4,1,3,0,3,3,3,2,3,2,2,0,0,0,3,1,2,3,0,0,0,2,1,1,2,0,2,3,2,2,5,2,1,1,2,2,1,2,3,1,0,0,1,1,1,1,2,5,3,3,3,2,2,2,2,1,0,3,2,0,2
g__Collinsella;s__Collinsella sp. CAG:289,1,0,0,1,1,0,3,4,0,2,0,1,0,3,1,2,1,1,2,0,0,0,0,5,1,3,0,2,2,1,1,0,1,2,1,2,2,2,0,1,0,0,1,1,0,4,3,1,5,4,2,2,0,0,1,1,1,0,0,5
g__Denitrobacterium;s__Denitrobacterium detoxificans,0,1,0,1,2,0,2,1,1,2,1,1,0,1,1,2,2,0,1,1,1,1,0,4,1,3,5,3,1,0,1,1,0,2,0,0,2,2,1,1,0,2,1,0,0,0,1,2,2,1,1,2,1,1,1,1,1,1,1,0
g__Enterorhabdus;s__Enterorhabdus caecimuris,3,2,0,2,0,0,1,2,1,1,1,0,0,3,0,1,4,2,1,1,0,1,0,2,1,2,2,1,0,4,1,1,1,4,1,1,2,0,1,0,1,1,1,0,0,1,5,1,2,1,2,1,1,1,2,0,2,1,1,1
g__Chthonomonas;s__Chthonomonas calidirosea,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,1,0,0,0,0,0
g__Bacteroides;s__Bacteroides fragilis CAG:47,4,3,3,0,3,0,0,1,3,1,2,0,5,1,1,1,1,0,1,0,3,3,3,2,1,5,2,2,0,0,1,1,4,0,3,3,3,4,3,4,3,3,3,4,5,0,3,4,3,3,0,0,1,1,3,5,3,3,0,1
g__Marinilabilia;s__Marinilabilia salmonicolor,0,0,2,1,2,1,0,2,0,1,0,1,1,4,0,1,1,1,5,1,3,0,3,2,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,3,0,3,3,0,0,0,0,0,0,1,0,0,0,0
g__Saccharicrinis;s__Saccharicrinis fermentans,0,2,0,3,4,4,1,1,5,1,0,2,2,3,2,4,2,1,2,0,3,0,4,0,0,1,2,4,4,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,4,0,0,0,0,1,1,0,0,0
g__Petrimonas;s__Petrimonas mucosa,1,0,0,2,2,0,0,0,0,3,0,1,2,4,1,1,1,0,2,1,0,2,1,2,0,4,0,0,0,5,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0
g__Porphyromonas;s__Porphyromonas crevioricanis,1,1,2,1,2,1,1,2,3,3,2,1,2,3,0,4,4,2,2,3,2,3,4,4,3,2,3,1,5,3,0,1,1,2,1,1,1,0,2,1,1,0,2,2,0,0,4,1,1,3,2,2,3,1,1,3,1,1,2,0
g__Porphyromonas;s__Porphyromonas gulae,0,5,0,4,1,0,2,4,2,3,2,2,3,3,1,5,4,1,2,0,0,0,2,2,1,0,3,2,2,3,0,0,1,1,1,2,1,0,0,0,0,0,2,3,1,3,2,1,2,2,3,0,1,0,1,1,0,1,0,0
g__Porphyromonas;s__Porphyromonas sp. COT-239 OH1446,0,2,3,1,2,3,5,1,2,0,0,2,1,3,0,1,1,2,1,0,3,1,2,2,0,1,0,2,3,2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,1,4,1,0,2,0,1,2,2,0,0,0,0,0,0,0
g__Porphyromonas;s__Porphyromonas sp. COT-290 OH3588,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
